Amplicon	Letter	Number	MT	WT	Ratio
EL_CUX1	A	1	0	0	0.0
EL_SRSF2	A	1	0	0	0.0
EL_TET2a	A	1	6	3	0.6659267480577137
EL_TET2b	A	1	0	0	0.0
EL_TGFB3_c	A	1	0	0	0.0
EL_TGFB3_g	A	1	0	2	0.0
EL_CUX1	A	10	0	0	0.0
EL_SRSF2	A	10	0	1	0.0
EL_TET2a	A	10	8	4	0.6661115736885929
EL_TET2b	A	10	4	10	0.28551034975017847
EL_TGFB3_c	A	10	0	0	0.0
EL_TGFB3_g	A	10	0	4	0.0
EL_CUX1	A	11	0	0	0.0
EL_SRSF2	A	11	0	0	0.0
EL_TET2a	A	11	1232	110	0.9180259461553938
EL_TET2b	A	11	1	2	0.33222591362126247
EL_TGFB3_c	A	11	0	0	0.0
EL_TGFB3_g	A	11	0	0	0.0
EL_CUX1	A	12	0	0	0.0
EL_SRSF2	A	12	0	1	0.0
EL_TET2a	A	12	24	9	0.7270524083611027
EL_TET2b	A	12	5	18	0.21729682746631898
EL_TGFB3_c	A	12	0	0	0.0
EL_TGFB3_g	A	12	1	67	0.014703720041170414
EL_CUX1	A	13	0	0	0.0
EL_SRSF2	A	13	0	1	0.0
EL_TET2a	A	13	92	26	0.779594949580544
EL_TET2b	A	13	2	31	0.06058770069675856
EL_TGFB3_c	A	13	0	0	0.0
EL_TGFB3_g	A	13	1	2	0.33222591362126247
EL_CUX1	A	14	0	0	0.0
EL_SRSF2	A	14	0	0	0.0
EL_TET2a	A	14	2	0	0.9950248756218907
EL_TET2b	A	14	11	12	0.47805302042590175
EL_TGFB3_c	A	14	0	0	0.0
EL_TGFB3_g	A	14	1	0	0.9900990099009901
EL_CUX1	A	15	0	0	0.0
EL_SRSF2	A	15	0	0	0.0
EL_TET2a	A	15	1	0	0.9900990099009901
EL_TET2b	A	15	0	2	0.0
EL_TGFB3_c	A	15	0	0	0.0
EL_TGFB3_g	A	15	0	0	0.0
EL_CUX1	A	16	0	0	0.0
EL_SRSF2	A	16	0	2	0.0
EL_TET2a	A	16	41	12	0.7734389737785324
EL_TET2b	A	16	0	5	0.0
EL_TGFB3_c	A	16	0	0	0.0
EL_TGFB3_g	A	16	0	1	0.0
EL_CUX1	A	17	0	0	0.0
EL_SRSF2	A	17	0	1	0.0
EL_TET2a	A	17	145	59	0.7107494730650459
EL_TET2b	A	17	7	42	0.14282799428688023
EL_TGFB3_c	A	17	0	0	0.0
EL_TGFB3_g	A	17	1	4	0.1996007984031936
EL_CUX1	A	18	0	0	0.0
EL_SRSF2	A	18	8	0	0.9987515605493134
EL_TET2a	A	18	7	16	0.3042155584528466
EL_TET2b	A	18	1	0	0.9900990099009901
EL_TGFB3_c	A	18	0	0	0.0
EL_TGFB3_g	A	18	1	1	0.49751243781094534
EL_CUX1	A	19	0	0	0.0
EL_SRSF2	A	19	12	0	0.9991673605328892
EL_TET2a	A	19	21	4	0.8396641343462614
EL_TET2b	A	19	16	1	0.9406231628453849
EL_TGFB3_c	A	19	0	0	0.0
EL_TGFB3_g	A	19	0	4	0.0
EL_CUX1	A	2	0	0	0.0
EL_SRSF2	A	2	0	0	0.0
EL_TET2a	A	2	6	1	0.8559201141226819
EL_TET2b	A	2	1	0	0.9900990099009901
EL_TGFB3_c	A	2	0	0	0.0
EL_TGFB3_g	A	2	0	3	0.0
EL_CUX1	A	20	0	0	0.0
EL_SRSF2	A	20	0	0	0.0
EL_TET2a	A	20	11	5	0.6870705808869456
EL_TET2b	A	20	0	1	0.0
EL_TGFB3_c	A	20	0	0	0.0
EL_TGFB3_g	A	20	0	2	0.0
EL_CUX1	A	21	0	0	0.0
EL_SRSF2	A	21	0	1	0.0
EL_TET2a	A	21	4	5	0.4439511653718091
EL_TET2b	A	21	0	0	0.0
EL_TGFB3_c	A	21	0	0	0.0
EL_TGFB3_g	A	21	0	1	0.0
EL_CUX1	A	22	0	0	0.0
EL_SRSF2	A	22	0	1	0.0
EL_TET2a	A	22	11	5	0.6870705808869456
EL_TET2b	A	22	1	0	0.9900990099009901
EL_TGFB3_c	A	22	0	0	0.0
EL_TGFB3_g	A	22	0	2	0.0
EL_CUX1	A	23	0	0	0.0
EL_SRSF2	A	23	0	1	0.0
EL_TET2a	A	23	6	2	0.7490636704119851
EL_TET2b	A	23	2	0	0.9950248756218907
EL_TGFB3_c	A	23	0	0	0.0
EL_TGFB3_g	A	23	0	73	0.0
EL_CUX1	A	24	0	0	0.0
EL_SRSF2	A	24	0	0	0.0
EL_TET2a	A	24	21	20	0.5120702267739576
EL_TET2b	A	24	2	0	0.9950248756218907
EL_TGFB3_c	A	24	0	0	0.0
EL_TGFB3_g	A	24	0	6	0.0
EL_CUX1	A	3	0	0	0.0
EL_SRSF2	A	3	0	6	0.0
EL_TET2a	A	3	11	16	0.40725657164013324
EL_TET2b	A	3	1	5	0.1663893510815308
EL_TGFB3_c	A	3	0	0	0.0
EL_TGFB3_g	A	3	1	3	0.24937655860349128
EL_CUX1	A	4	0	0	0.0
EL_SRSF2	A	4	0	0	0.0
EL_TET2a	A	4	39	16	0.708962006907835
EL_TET2b	A	4	20	17	0.5403944879762227
EL_TGFB3_c	A	4	0	0	0.0
EL_TGFB3_g	A	4	0	0	0.0
EL_CUX1	A	5	0	0	0.0
EL_SRSF2	A	5	1	0	0.9900990099009901
EL_TET2a	A	5	17	9	0.6535947712418301
EL_TET2b	A	5	36	0	0.9997222993612885
EL_TGFB3_c	A	5	0	0	0.0
EL_TGFB3_g	A	5	0	3	0.0
EL_CUX1	A	6	0	0	0.0
EL_SRSF2	A	6	0	1	0.0
EL_TET2a	A	6	18	13	0.5804579168010319
EL_TET2b	A	6	24	1	0.9596161535385845
EL_TGFB3_c	A	6	0	0	0.0
EL_TGFB3_g	A	6	0	1	0.0
EL_CUX1	A	7	0	0	0.0
EL_SRSF2	A	7	0	3	0.0
EL_TET2a	A	7	6	6	0.4995836802664446
EL_TET2b	A	7	6	0	0.9983361064891847
EL_TGFB3_c	A	7	0	0	0.0
EL_TGFB3_g	A	7	0	0	0.0
EL_CUX1	A	8	0	0	0.0
EL_SRSF2	A	8	0	2	0.0
EL_TET2a	A	8	32	38	0.4570775603485216
EL_TET2b	A	8	36	10	0.7824386003042817
EL_TGFB3_c	A	8	0	0	0.0
EL_TGFB3_g	A	8	0	2	0.0
EL_CUX1	A	9	0	0	0.0
EL_SRSF2	A	9	0	2	0.0
EL_TET2a	A	9	63	62	0.5039596832253419
EL_TET2b	A	9	103	2	0.9808589658127796
EL_TGFB3_c	A	9	0	0	0.0
EL_TGFB3_g	A	9	1	2	0.33222591362126247
EL_CUX1	B	1	0	0	0.0
EL_SRSF2	B	1	0	0	0.0
EL_TET2a	B	1	0	0	0.0
EL_TET2b	B	1	33	3	0.9164121077478479
EL_TGFB3_c	B	1	0	0	0.0
EL_TGFB3_g	B	1	0	0	0.0
EL_CUX1	B	10	0	0	0.0
EL_SRSF2	B	10	0	0	0.0
EL_TET2a	B	10	1	2	0.33222591362126247
EL_TET2b	B	10	8	8	0.4996876951905059
EL_TGFB3_c	B	10	0	0	0.0
EL_TGFB3_g	B	10	0	0	0.0
EL_CUX1	B	11	0	0	0.0
EL_SRSF2	B	11	0	0	0.0
EL_TET2a	B	11	4	3	0.5706134094151213
EL_TET2b	B	11	10	6	0.6246096189881324
EL_TGFB3_c	B	11	0	0	0.0
EL_TGFB3_g	B	11	0	1	0.0
EL_CUX1	B	12	0	0	0.0
EL_SRSF2	B	12	1	3	0.24937655860349128
EL_TET2a	B	12	11	23	0.3234342840341076
EL_TET2b	B	12	75	799	0.08581137515589067
EL_TGFB3_c	B	12	0	0	0.0
EL_TGFB3_g	B	12	1	2	0.33222591362126247
EL_CUX1	B	13	0	0	0.0
EL_SRSF2	B	13	0	8	0.0
EL_TET2a	B	13	48	20	0.7057785619761799
EL_TET2b	B	13	197	77	0.7189518630706909
EL_TGFB3_c	B	13	0	0	0.0
EL_TGFB3_g	B	13	2	1	0.6644518272425249
EL_CUX1	B	14	0	0	0.0
EL_SRSF2	B	14	1	0	0.9900990099009901
EL_TET2a	B	14	0	0	0.0
EL_TET2b	B	14	54	26	0.6749156355455568
EL_TGFB3_c	B	14	0	0	0.0
EL_TGFB3_g	B	14	0	0	0.0
EL_CUX1	B	15	0	0	0.0
EL_SRSF2	B	15	0	0	0.0
EL_TET2a	B	15	0	0	0.0
EL_TET2b	B	15	11	0	0.9990917347865577
EL_TGFB3_c	B	15	0	0	0.0
EL_TGFB3_g	B	15	0	0	0.0
EL_CUX1	B	16	0	0	0.0
EL_SRSF2	B	16	1	2	0.33222591362126247
EL_TET2a	B	16	24	19	0.5580097651708905
EL_TET2b	B	16	36	16	0.6921745818111902
EL_TGFB3_c	B	16	0	5	0.0
EL_TGFB3_g	B	16	0	1	0.0
EL_CUX1	B	17	0	0	0.0
EL_SRSF2	B	17	0	4	0.0
EL_TET2a	B	17	68	54	0.5573313662814523
EL_TET2b	B	17	111	98	0.5310750681785561
EL_TGFB3_c	B	17	0	0	0.0
EL_TGFB3_g	B	17	0	0	0.0
EL_CUX1	B	18	0	0	0.0
EL_SRSF2	B	18	0	1	0.0
