Amplicon	Letter	Number	MT	WT	Ratio
GR_TET2a	A	1	0	0	0.0
GR_TET2b	A	1	0	2	0.0
GR_TET2a	A	10	0	0	0.0
GR_TET2b	A	10	0	0	0.0
GR_TET2a	A	11	0	0	0.0
GR_TET2b	A	11	0	4	0.0
GR_TET2a	A	12	0	0	0.0
GR_TET2b	A	12	95	5	0.9499050094990501
GR_TET2a	A	13	0	0	0.0
GR_TET2b	A	13	1	5	0.1663893510815308
GR_TET2a	A	14	0	0	0.0
GR_TET2b	A	14	0	0	0.0
GR_TET2a	A	15	0	0	0.0
GR_TET2b	A	15	0	1	0.0
GR_TET2a	A	16	0	0	0.0
GR_TET2b	A	16	1	7	0.12484394506866417
GR_TET2a	A	17	1	0	0.9900990099009901
GR_TET2b	A	17	1	11	0.08326394671107411
GR_TET2a	A	18	1	0	0.9900990099009901
GR_TET2b	A	18	2	1	0.6644518272425249
GR_TET2a	A	19	0	0	0.0
GR_TET2b	A	19	45	9	0.8331790409183485
GR_TET2a	A	2	0	0	0.0
GR_TET2b	A	2	1	32	0.03029385034837928
GR_TET2a	A	20	0	0	0.0
GR_TET2b	A	20	0	6	0.0
GR_TET2a	A	21	0	0	0.0
GR_TET2b	A	21	1	4	0.1996007984031936
GR_TET2a	A	22	0	0	0.0
GR_TET2b	A	22	34	13	0.723250372261221
GR_TET2a	A	23	0	0	0.0
GR_TET2b	A	23	42	77	0.3529115200403327
GR_TET2a	A	24	0	0	0.0
GR_TET2b	A	24	56	48	0.5384097682915104
GR_TET2a	A	3	0	0	0.0
GR_TET2b	A	3	7	48	0.12724959098345756
GR_TET2a	A	4	0	1	0.0
GR_TET2b	A	4	16	7	0.6953498478922208
GR_TET2a	A	5	0	1	0.0
GR_TET2b	A	5	1	11	0.08326394671107411
GR_TET2a	A	6	0	0	0.0
GR_TET2b	A	6	4	11	0.2664890073284477
GR_TET2a	A	7	0	0	0.0
GR_TET2b	A	7	24	20	0.5453306066803
GR_TET2a	A	8	0	0	0.0
GR_TET2b	A	8	3	11	0.21413276231263384
GR_TET2a	A	9	0	2	0.0
GR_TET2b	A	9	46	65	0.4143770831456625
GR_TET2a	B	1	0	0	0.0
GR_TET2b	B	1	7	13	0.34982508745627183
GR_TET2a	B	10	0	0	0.0
GR_TET2b	B	10	0	5	0.0
GR_TET2a	B	11	0	0	0.0
GR_TET2b	B	11	0	20	0.0
GR_TET2a	B	12	0	4	0.0
GR_TET2b	B	12	204	101	0.6688305301465526
GR_TET2a	B	13	1	4	0.1996007984031936
GR_TET2b	B	13	18	39	0.31573408174004564
GR_TET2a	B	14	0	0	0.0
GR_TET2b	B	14	0	9	0.0
GR_TET2a	B	15	0	0	0.0
GR_TET2b	B	15	1	3	0.24937655860349128
GR_TET2a	B	16	0	1	0.0
GR_TET2b	B	16	0	51	0.0
GR_TET2a	B	17	0	0	0.0
GR_TET2b	B	17	4	60	0.06249023590064052
GR_TET2a	B	18	0	0	0.0
GR_TET2b	B	18	5	105	0.04545041359876375
GR_TET2a	B	19	0	0	0.0
GR_TET2b	B	19	54	64	0.45758833997118886
GR_TET2a	B	2	98	0	0.9998979695949393
GR_TET2b	B	2	3	24045	0.00012475044712639426
GR_TET2a	B	20	0	0	0.0
GR_TET2b	B	20	3	63	0.04544765944553855
GR_TET2a	B	21	0	0	0.0
GR_TET2b	B	21	10	30	0.24993751562109473
GR_TET2a	B	22	0	0	0.0
GR_TET2b	B	22	1	73	0.01351168760978246
GR_TET2a	B	23	0	1	0.0
GR_TET2b	B	23	51	172	0.22868929644410566
GR_TET2a	B	24	0	14	0.0
GR_TET2b	B	24	86	122	0.41344166145858374
GR_TET2a	B	3	0	0	0.0
GR_TET2b	B	3	3	158	0.018632383081796162
GR_TET2a	B	4	0	1	0.0
