Amplicon	Letter	Number	MT	WT	Ratio
GR_TET2a	A	1	1	0	0.9900990099009901
GR_TET2b	A	1	15	15	0.49983338887037654
GR_TET2a	A	10	0	1	0.0
GR_TET2b	A	10	8	20	0.2856122813280971
GR_TET2a	A	11	0	2	0.0
GR_TET2b	A	11	18	24	0.42846941204475125
GR_TET2a	A	12	5	3	0.6242197253433208
GR_TET2b	A	12	314	469	0.401016589826439
GR_TET2a	A	13	1	8	0.11098779134295228
GR_TET2b	A	13	298	232	0.5622535423859927
GR_TET2a	A	14	2	4	0.3327787021630616
GR_TET2b	A	14	5	12	0.2939447383891828
GR_TET2a	A	15	0	0	0.0
GR_TET2b	A	15	18	55	0.2465415696479934
GR_TET2a	A	16	13	0	0.9992313604919293
GR_TET2b	A	16	82	37	0.6890177296025544
GR_TET2a	A	17	0	2	0.0
GR_TET2b	A	17	25	51	0.3289040915668991
GR_TET2a	A	18	7	2	0.7769145394006659
GR_TET2b	A	18	130	245	0.34665742246873416
GR_TET2a	A	19	1	0	0.9900990099009901
GR_TET2b	A	19	221	338	0.39534176490581563
GR_TET2a	A	2	1	1	0.49751243781094534
GR_TET2b	A	2	17	39	0.3035172290662382
GR_TET2a	A	20	0	0	0.0
GR_TET2b	A	20	60	268	0.18292125240084145
GR_TET2a	A	21	2	66	0.02940744008234083
GR_TET2b	A	21	90	202	0.3082086229923633
GR_TET2a	A	22	0	23	0.0
GR_TET2b	A	22	27208	1511	0.9473864175680151
GR_TET2a	A	23	208	405	0.3393093097991876
GR_TET2b	A	23	9519	15020	0.38791295981378227
GR_TET2a	A	24	0	1	0.0
GR_TET2b	A	24	28	14409	0.0019394597634828819
GR_TET2a	A	3	0	2	0.0
GR_TET2b	A	3	111	149	0.42690665743625245
GR_TET2a	A	4	1	21	0.045433893684688774
GR_TET2b	A	4	236	190	0.5539776061594799
GR_TET2a	A	5	11	23	0.3234342840341076
GR_TET2b	A	5	17	36	0.3206942086398793
GR_TET2a	A	6	0	24	0.0
GR_TET2b	A	6	134	7158	0.01837627759698629
GR_TET2a	A	7	0	0	0.0
GR_TET2b	A	7	38	43	0.4690778916183187
GR_TET2a	A	8	0	39	0.0
GR_TET2b	A	8	33	42	0.4399413411545127
GR_TET2a	A	9	0	2	0.0
GR_TET2b	A	9	162	87	0.650576282077025
GR_TET2a	B	1	0	0	0.0
GR_TET2b	B	1	18	31	0.3672719853091206
GR_TET2a	B	10	0	0	0.0
GR_TET2b	B	10	7	10	0.4115226337448559
GR_TET2a	B	11	0	2	0.0
GR_TET2b	B	11	25	35	0.41659723379436764
GR_TET2a	B	12	3	5	0.37453183520599254
GR_TET2b	B	12	194	475	0.2899807177770138
GR_TET2a	B	13	0	14	0.0
GR_TET2b	B	13	8875	206	0.977314197429581
GR_TET2a	B	14	2	3	0.3992015968063872
GR_TET2b	B	14	3	21	0.12494793835901707
GR_TET2a	B	15	0	0	0.0
GR_TET2b	B	15	5	33	0.13154433043935806
GR_TET2a	B	16	12	0	0.9991673605328892
GR_TET2b	B	16	62	43	0.5904199600038091
