Amplicon	Letter	Number	MT	WT	Ratio
RN_RUNX1_c	A	1	0	2	0.0
RN_RUNX1_g	A	1	1	27	0.035701535166012134
RN_SRSF2	A	1	0	4	0.0
RN_TET2a	A	1	0	27	0.0
RN_TET2b_c	A	1	0	0	0.0
RN_TET2b_g	A	1	0	0	0.0
RN_RUNX1_c	A	10	0	9	0.0
RN_RUNX1_g	A	10	0	1	0.0
RN_SRSF2	A	10	0	3	0.0
RN_TET2a	A	10	0	2	0.0
RN_TET2b_c	A	10	0	0	0.0
RN_TET2b_g	A	10	0	0	0.0
RN_RUNX1_c	A	11	2	2	0.49875311720698257
RN_RUNX1_g	A	11	0	8	0.0
RN_SRSF2	A	11	0	20	0.0
RN_TET2a	A	11	0	90	0.0
RN_TET2b_c	A	11	0	0	0.0
RN_TET2b_g	A	11	0	0	0.0
RN_RUNX1_c	A	12	0	84	0.0
RN_RUNX1_g	A	12	2	256	0.007751637533428937
RN_SRSF2	A	12	1	107	0.009258401999814831
RN_TET2a	A	12	0	116	0.0
RN_TET2b_c	A	12	0	0	0.0
RN_TET2b_g	A	12	0	0	0.0
RN_RUNX1_c	A	13	0	160	0.0
RN_RUNX1_g	A	13	1	2603	0.0003840231028298662
RN_SRSF2	A	13	2	186	0.010637732035530026
RN_TET2a	A	13	0	264	0.0
RN_TET2b_c	A	13	0	0	0.0
RN_TET2b_g	A	13	0	0	0.0
RN_RUNX1_c	A	14	0	2	0.0
RN_RUNX1_g	A	14	0	4	0.0
RN_SRSF2	A	14	0	17	0.0
RN_TET2a	A	14	0	6	0.0
RN_TET2b_c	A	14	0	0	0.0
RN_TET2b_g	A	14	0	0	0.0
RN_RUNX1_c	A	15	0	0	0.0
RN_RUNX1_g	A	15	0	4	0.0
RN_SRSF2	A	15	0	7	0.0
RN_TET2a	A	15	0	141	0.0
RN_TET2b_c	A	15	0	0	0.0
RN_TET2b_g	A	15	0	0	0.0
RN_RUNX1_c	A	16	0	76	0.0
RN_RUNX1_g	A	16	1	142	0.006992518005733865
RN_SRSF2	A	16	11	307	0.03459010722933241
RN_TET2a	A	16	3	203	0.014562399883500802
RN_TET2b_c	A	16	0	0	0.0
RN_TET2b_g	A	16	0	0	0.0
RN_RUNX1_c	A	17	1	45	0.021734405564007825
RN_RUNX1_g	A	17	1	279	0.0035713010249633944
RN_SRSF2	A	17	2	34	0.05554012774229381
RN_TET2a	A	17	4	177	0.022098226617313962
RN_TET2b_c	A	17	0	0	0.0
RN_TET2b_g	A	17	0	0	0.0
RN_RUNX1_c	A	18	0	70	0.0
RN_RUNX1_g	A	18	1	1223	0.0008169867893236167
RN_SRSF2	A	18	0	56	0.0
RN_TET2a	A	18	0	206	0.0
RN_TET2b_c	A	18	0	0	0.0
RN_TET2b_g	A	18	0	0	0.0
RN_RUNX1_c	A	19	0	94	0.0
RN_RUNX1_g	A	19	0	275	0.0
RN_SRSF2	A	19	0	51	0.0
RN_TET2a	A	19	3	1650	0.0018148710534116551
RN_TET2b_c	A	19	0	0	0.0
