Reads	Reads	Total	Mut_freq
MT	WT		
8.0	6581.0	6589.0	0.0012141447867658219
4.0	501.0	505.0	0.007920792079207921
2.0	224.0	226.0	0.008849557522123894
38.0	10174.0	10212.0	0.0037211124167645907
5.0	3996.0	4001.0	0.0012496875781054736
7.0	1749.0	1756.0	0.003986332574031891
2.0	135.0	137.0	0.014598540145985401
27.0	340.0	367.0	0.07356948228882834
0.0	277.0	277.0	0.0
3.0	145.0	148.0	0.02027027027027027
1.0	175.0	176.0	0.005681818181818182
46.0	435.0	481.0	0.09563409563409564
1.0	5292.0	5293.0	0.0001889287738522577
1.0	132.0	133.0	0.007518796992481203
37.0	158.0	195.0	0.18974358974358974
2.0	245.0	247.0	0.008097165991902834
2.0	6953.0	6955.0	0.0002875629043853343
2.0	99.0	101.0	0.019801980198019802
3.0	244.0	247.0	0.012145748987854251
3.0	686.0	689.0	0.0043541364296081275
2.0	556.0	558.0	0.0035842293906810036
10.0	93.0	103.0	0.0970873786407767
1.0	134.0	135.0	0.007407407407407408
2.0	490.0	492.0	0.0040650406504065045
9.0	6631.0	6640.0	0.001355421686746988
10.0	152.0	162.0	0.06172839506172839
5.0	2087.0	2092.0	0.002390057361376673
0.0	245.0	245.0	0.0
2.0	2188.0	2190.0	0.0009132420091324201
2.0	132.0	134.0	0.014925373134328358
0.0	1288.0	1288.0	0.0
1.0	712.0	713.0	0.001402524544179523
0.0	488.0	488.0	0.0
10.0	174.0	184.0	0.05434782608695652
0.0	371.0	371.0	0.0
7.0	2887.0	2894.0	0.0024187975120939877
1.0	3488.0	3489.0	0.00028661507595299513
8.0	444.0	452.0	0.017699115044247787
0.0	1726.0	1726.0	0.0
7.0	13141.0	13148.0	0.0005324003650745361
1.0	3622.0	3623.0	0.0002760143527463428
20.0	4086.0	4106.0	0.004870920603994155
7.0	174.0	181.0	0.03867403314917127
14.0	8629.0	8643.0	0.0016198079370588917
5.0	5940.0	5945.0	0.0008410428931875525
15.0	1120.0	1135.0	0.013215859030837005
5.0	419.0	424.0	0.01179245283018868
1.0	534.0	535.0	0.001869158878504673
0.0	588.0	588.0	0.0
23.0	980.0	1003.0	0.022931206380857428
3.0	3259.0	3262.0	0.0009196811771919068
1.0	385.0	386.0	0.0025906735751295338
0.0	2917.0	2917.0	0.0
43.0	146.0	189.0	0.2275132275132275
5.0	1558.0	1563.0	0.003198976327575176
2.0	630.0	632.0	0.0031645569620253164
1.0	551.0	552.0	0.0018115942028985507
8.0	240.0	248.0	0.03225806451612903
3.0	427.0	430.0	0.0069767441860465115
0.0	743.0	743.0	0.0
2.0	3764.0	3766.0	0.0005310674455655868
5.0	193.0	198.0	0.025252525252525252
7.0	2997.0	3004.0	0.002330226364846871
14.0	248.0	262.0	0.05343511450381679
2.0	413.0	415.0	0.004819277108433735
5.0	196.0	201.0	0.024875621890547265
7.0	296.0	303.0	0.0231023102310231
0.0	237.0	237.0	0.0
0.0	488.0	488.0	0.0
3.0	124.0	127.0	0.023622047244094488
40.0	241.0	281.0	0.1423487544483986
3.0	7623.0	7626.0	0.0003933910306845004
1.0	388.0	389.0	0.002570694087403599
7.0	129.0	136.0	0.051470588235294115
1.0	112.0	113.0	0.008849557522123894
2.0	7343.0	7345.0	0.0002722940776038121
0.0	302.0	302.0	0.0
13.0	115.0	128.0	0.1015625
4.0	5222.0	5226.0	0.0007654037504783774
