Amplicon	Letter	Number	MT	WT	Ratio
GR_TET2a	A	1	0	0	0.0
GR_TET2b	A	1	0	1	0.0
GR_TET2a	A	10	0	0	0.0
GR_TET2b	A	10	0	1	0.0
GR_TET2a	A	11	0	0	0.0
GR_TET2b	A	11	0	1	0.0
GR_TET2a	A	12	0	0	0.0
GR_TET2b	A	12	15	9	0.6247396917950854
GR_TET2a	A	13	0	1	0.0
GR_TET2b	A	13	61	74	0.45181838382342054
GR_TET2a	A	14	0	0	0.0
GR_TET2b	A	14	4	2	0.6655574043261232
GR_TET2a	A	15	0	0	0.0
GR_TET2b	A	15	3	5	0.37453183520599254
GR_TET2a	A	16	0	0	0.0
GR_TET2b	A	16	3	6	0.33296337402885684
GR_TET2a	A	17	0	0	0.0
GR_TET2b	A	17	1	18	0.052603892688058915
GR_TET2a	A	18	0	0	0.0
GR_TET2b	A	18	0	11	0.0
GR_TET2a	A	19	1	0	0.9900990099009901
GR_TET2b	A	19	11	13	0.45814244064972925
GR_TET2a	A	2	0	0	0.0
GR_TET2b	A	2	0	11	0.0
GR_TET2a	A	20	0	0	0.0
GR_TET2b	A	20	7	7	0.4996431120628123
GR_TET2a	A	21	0	1	0.0
GR_TET2b	A	21	9	15	0.3748438150770512
GR_TET2a	A	22	0	15	0.0
GR_TET2b	A	22	41	27	0.602852521687987
GR_TET2a	A	23	2	0	0.9950248756218907
GR_TET2b	A	23	45	37	0.5487135715156688
GR_TET2a	A	24	1	3	0.24937655860349128
GR_TET2b	A	24	52	85	0.3795343405590833
GR_TET2a	A	3	0	0	0.0
GR_TET2b	A	3	0	675	0.0
GR_TET2a	A	4	0	0	0.0
GR_TET2b	A	4	2	16	0.11104941699056078
GR_TET2a	A	5	0	0	0.0
GR_TET2b	A	5	1	12	0.07686395080707148
GR_TET2a	A	6	0	1	0.0
GR_TET2b	A	6	27	18	0.5998666962897135
GR_TET2a	A	7	0	0	0.0
GR_TET2b	A	7	1	3	0.24937655860349128
GR_TET2a	A	8	0	0	0.0
GR_TET2b	A	8	18	48	0.2726859566732313
GR_TET2a	A	9	0	0	0.0
GR_TET2b	A	9	3	14	0.1763668430335097
GR_TET2a	B	1	1	0	0.9900990099009901
GR_TET2b	B	1	3	6	0.33296337402885684
GR_TET2a	B	10	0	0	0.0
GR_TET2b	B	10	6	2	0.7490636704119851
GR_TET2a	B	11	0	0	0.0
GR_TET2b	B	11	58	1	0.9828842569056092
GR_TET2a	B	12	0	0	0.0
GR_TET2b	B	12	35	3	0.9208103130755065
GR_TET2a	B	13	2	5	0.28530670470756064
GR_TET2b	B	13	82	82	0.4999695140540211
GR_TET2a	B	14	0	0	0.0
GR_TET2b	B	14	1	3	0.24937655860349128
GR_TET2a	B	15	0	0	0.0
GR_TET2b	B	15	1	3	0.24937655860349128
GR_TET2a	B	16	0	0	0.0
GR_TET2b	B	16	7	54	0.11473528929683659
GR_TET2a	B	17	0	0	0.0
GR_TET2b	B	17	7	35	0.16662699357295882
GR_TET2a	B	18	0	0	0.0
GR_TET2b	B	18	1	44	0.022217285047767165
GR_TET2a	B	19	0	1	0.0
GR_TET2b	B	19	35	25	0.5832361273121147
GR_TET2a	B	2	0	0	0.0
GR_TET2b	B	2	3	14	0.1763668430335097
GR_TET2a	B	20	0	0	0.0
GR_TET2b	B	20	12	22	0.35283740076448106
GR_TET2a	B	21	0	0	0.0
GR_TET2b	B	21	12	10	0.5452067242162653
GR_TET2a	B	22	0	12	0.0
GR_TET2b	B	22	33	35	0.4852227613586237
GR_TET2a	B	23	0	1	0.0
GR_TET2b	B	23	47	44	0.5164267662894187
GR_TET2a	B	24	0	3	0.0
GR_TET2b	B	24	81	52	0.6089767686640103
GR_TET2a	B	3	0	0	0.0
GR_TET2b	B	3	2	13	0.13324450366422386
GR_TET2a	B	4	0	0	0.0
GR_TET2b	B	4	14	20	0.4116436342252279
GR_TET2a	B	5	0	0	0.0
GR_TET2b	B	5	0	4	0.0
GR_TET2a	B	6	0	0	0.0
GR_TET2b	B	6	33	11	0.7498295841854125
GR_TET2a	B	7	0	0	0.0
GR_TET2b	B	7	1	0	0.9900990099009901
GR_TET2a	B	8	0	1	0.0
GR_TET2b	B	8	47	54	0.46530046530046526
GR_TET2a	B	9	1	1	0.49751243781094534
GR_TET2b	B	9	3	21	0.12494793835901707
GR_TET2a	C	1	0	2	0.0
GR_TET2b	C	1	29	39	0.426407881193942
GR_TET2a	C	10	0	1	0.0
GR_TET2b	C	10	244	2199	0.099876791335279
GR_TET2a	C	11	0	0	0.0
GR_TET2b	C	11	14	3	0.8230452674897119
GR_TET2a	C	12	0	1	0.0
GR_TET2b	C	12	148	61	0.7081000909047415
GR_TET2a	C	13	6	28	0.17641870038224053
GR_TET2b	C	13	11889	736	0.9417022243942776
GR_TET2a	C	14	0	4	0.0
GR_TET2b	C	14	19	34	0.35842293906810035
GR_TET2a	C	15	0	0	0.0
GR_TET2b	C	15	30	38	0.44111160123511245
GR_TET2a	C	16	0	0	0.0
GR_TET2b	C	16	29	50	0.3670421465637261
GR_TET2a	C	17	2	0	0.9950248756218907
GR_TET2b	C	17	50	180	0.21738185296291465
GR_TET2a	C	18	1	0	0.9900990099009901
GR_TET2b	C	18	47	137	0.2554209010379871
GR_TET2a	C	19	2	2	0.49875311720698257
GR_TET2b	C	19	171	197	0.46466128637808757
GR_TET2a	C	2	0	3	0.0
GR_TET2b	C	2	46	36	0.5609072064382392
GR_TET2a	C	20	2	0	0.9950248756218907
GR_TET2b	C	20	108	167	0.3927129922548271
GR_TET2a	C	21	0	1	0.0
GR_TET2b	C	21	68	78	0.465721525922882
GR_TET2a	C	22	0	30	0.0
GR_TET2b	C	22	303	317	0.4887017951323366
GR_TET2a	C	23	2	4	0.3327787021630616
GR_TET2b	C	23	362	331	0.5223589847188352
GR_TET2a	C	24	292	310	0.4850417767146725
GR_TET2b	C	24	17050	18704	0.4768695874952208
GR_TET2a	C	3	0	1	0.0
GR_TET2b	C	3	22	81	0.21357149791282398
GR_TET2a	C	4	0	1	0.0
GR_TET2b	C	4	52	143	0.26665299215424854
GR_TET2a	C	5	0	3	0.0
GR_TET2b	C	5	10	41	0.19603999215840032
GR_TET2a	C	6	5	3	0.6242197253433208
GR_TET2b	C	6	193	105	0.64762927418543
GR_TET2a	C	7	0	1	0.0
GR_TET2b	C	7	10	18	0.3570153516601214
GR_TET2a	C	8	2	2	0.49875311720698257
GR_TET2b	C	8	295	516	0.3637439735638278
GR_TET2a	C	9	1	0	0.9900990099009901
GR_TET2b	C	9	35	122	0.2229157378510923
GR_TET2a	D	1	0	1	0.0
GR_TET2b	D	1	18	21	0.4614201486798257
GR_TET2a	D	10	0	2	0.0
GR_TET2b	D	10	16	7	0.6953498478922208
GR_TET2a	D	11	0	0	0.0
GR_TET2b	D	11	8	5	0.6149116064565718
GR_TET2a	D	12	8	2	0.7992007992007992
GR_TET2b	D	12	12071	46	0.9962028586260142
GR_TET2a	D	13	4	5	0.4439511653718091
GR_TET2b	D	13	645	640	0.5019416191313686
GR_TET2a	D	14	1	0	0.9900990099009901
GR_TET2b	D	14	23	22	0.5109975560986447
GR_TET2a	D	15	0	1	0.0
GR_TET2b	D	15	22	25	0.4679855349925548
GR_TET2a	D	16	0	0	0.0
GR_TET2b	D	16	29	28	0.5086826872478513
GR_TET2a	D	17	1	1	0.49751243781094534
GR_TET2b	D	17	51	134	0.2756607750932382
GR_TET2a	D	18	0	1	0.0
GR_TET2b	D	18	45	97	0.3168790930216182
GR_TET2a	D	19	0	0	0.0
GR_TET2b	D	19	203	166	0.5501205929378608
GR_TET2a	D	2	1	1	0.49751243781094534
GR_TET2b	D	2	20	20	0.49987503124218946
GR_TET2a	D	20	2	3	0.3992015968063872
GR_TET2b	D	20	71	132	0.34973646618393184
GR_TET2a	D	21	0	0	0.0
GR_TET2b	D	21	86	88	0.4942244698580542
GR_TET2a	D	22	197	406	0.3266944163446709
GR_TET2b	D	22	11066	10404	0.5154166206722773
GR_TET2a	D	23	362	262	0.5801189083508277
GR_TET2b	D	23	16216	10193	0.6140328622693543
GR_TET2a	D	24	2	2	0.49875311720698257
GR_TET2b	D	24	632	427	0.5967837886327797
GR_TET2a	D	3	0	0	0.0
GR_TET2b	D	3	31	100	0.23662315853751623
GR_TET2a	D	4	0	2	0.0
GR_TET2b	D	4	59	115	0.3390609735072697
GR_TET2a	D	5	0	1	0.0
GR_TET2b	D	5	12	35	0.2552648372686663
GR_TET2a	D	6	1	3	0.24937655860349128
GR_TET2b	D	6	178	97	0.6472491909385113
GR_TET2a	D	7	3	0	0.9966777408637875
GR_TET2b	D	7	12	11	0.5215123859191656
GR_TET2a	D	8	1	2	0.33222591362126247
GR_TET2b	D	8	304	355	0.46129800761748685
GR_TET2a	D	9	1	0	0.9900990099009901
GR_TET2b	D	9	37	111	0.24998310924937506
GR_TET2a	E	1	1	12	0.07686395080707148
GR_TET2b	E	1	7	5	0.5828476269775188
GR_TET2a	E	10	0	2	0.0
GR_TET2b	E	10	11	6	0.6466784244562022
GR_TET2a	E	11	0	5	0.0
GR_TET2b	E	11	3	0	0.9966777408637875
GR_TET2a	E	12	3	20	0.1303780964797914
GR_TET2b	E	12	86	38	0.6934924602854609
GR_TET2a	E	13	6	38	0.136332651670075
GR_TET2b	E	13	358	230	0.6088331831091308
GR_TET2a	E	14	1	7	0.12484394506866417
GR_TET2b	E	14	11	11	0.4997728305315765
GR_TET2a	E	15	1	3	0.24937655860349128
GR_TET2b	E	15	12	12	0.4997917534360683
GR_TET2a	E	16	0	8	0.0
GR_TET2b	E	16	11	20	0.3547242824895195
GR_TET2a	E	17	2	20	0.09086778736937755
GR_TET2b	E	17	39	58	0.40202041026698276
GR_TET2a	E	18	3	44	0.06381620931716657
GR_TET2b	E	18	35	63	0.3571064177124783
GR_TET2a	E	19	1	22	0.0434593654932638
GR_TET2b	E	19	118	51	0.6981835394355363
GR_TET2a	E	2	0	16	0.0
GR_TET2b	E	2	20	13	0.6058770069675856
GR_TET2a	E	20	0	30	0.0
GR_TET2b	E	20	57	55	0.5088831354343362
GR_TET2a	E	21	2	12	0.14275517487508924
GR_TET2b	E	21	56	43	0.5655994344005656
GR_TET2a	E	22	4	24798	0.00016127725131955033
GR_TET2b	E	22	179	71	0.7159713611455542
GR_TET2a	E	23	908	531	0.630989360741065
GR_TET2b	E	23	28297	71	0.9974968282935603
GR_TET2a	E	24	20	43	0.31740993493096337
GR_TET2b	E	24	386	161	0.7056543756055648
GR_TET2a	E	3	2	11	0.15372790161414296
GR_TET2b	E	3	18	36	0.3332716163673394
GR_TET2a	E	4	0	19	0.0
GR_TET2b	E	4	33	47	0.4124484439445069
GR_TET2a	E	5	0	7	0.0
GR_TET2b	E	5	9	12	0.4283674440742503
GR_TET2a	E	6	34	26	0.56657223796034
GR_TET2b	E	6	120	17	0.8758484782132692
GR_TET2a	E	7	0	9	0.0
GR_TET2b	E	7	10	9	0.5260389268805892
GR_TET2a	E	8	2	37	0.051268905408869525
GR_TET2b	E	8	194	152	0.5606774370682929
GR_TET2a	E	9	1	9	0.0999000999000999
GR_TET2b	E	9	42	42	0.4999404832758005
GR_TET2a	F	1	0	1	0.0
GR_TET2b	F	1	11	25	0.30547070258261594
GR_TET2a	F	10	1	0	0.9900990099009901
GR_TET2b	F	10	28	24	0.5383580080753702
GR_TET2a	F	11	0	0	0.0
GR_TET2b	F	11	10	13	0.43459365493263796
GR_TET2a	F	12	2	5	0.28530670470756064
GR_TET2b	F	12	195	119	0.6209993312314894
GR_TET2a	F	13	6	13	0.31562335612835346
GR_TET2b	F	13	688	38279	0.017655960772971803
GR_TET2a	F	14	0	0	0.0
GR_TET2b	F	14	25	53	0.3204717343930265
GR_TET2a	F	15	1	0	0.9900990099009901
GR_TET2b	F	15	27	42	0.39124764526880157
GR_TET2a	F	16	0	6	0.0
GR_TET2b	F	16	32	437	0.06822882241316816
GR_TET2a	F	17	8	4	0.6661115736885929
GR_TET2b	F	17	57	220	0.20576874481065666
GR_TET2a	F	18	3	3	0.49916805324459235
GR_TET2b	F	18	46	127	0.2658805849372869
GR_TET2a	F	19	5	8	0.3843197540353574
GR_TET2b	F	19	192	310	0.38246250074699706
GR_TET2a	F	2	1	0	0.9900990099009901
GR_TET2b	F	2	16	20	0.4443210219383505
GR_TET2a	F	20	4	2	0.6655574043261232
GR_TET2b	F	20	85	129	0.3971777019765432
GR_TET2a	F	21	2	9	0.18165304268846502
GR_TET2b	F	21	96	151	0.3886482328650662
GR_TET2a	F	22	3	23	0.11534025374855823
GR_TET2b	F	22	294	384	0.433621922980487
GR_TET2a	F	23	202	520	0.2797745183584715
GR_TET2b	F	23	12812	18421	0.4102070213533694
GR_TET2a	F	24	1173	1325	0.4695737807294606
GR_TET2b	F	24	25194	14456	0.6354096758109267
GR_TET2a	F	3	0	1	0.0
GR_TET2b	F	3	23	99	0.1885091385951971
GR_TET2a	F	4	2	0	0.9950248756218907
GR_TET2b	F	4	38	198	0.16101012668954706
GR_TET2a	F	5	0	1	0.0
GR_TET2b	F	5	7	48	0.12724959098345756
GR_TET2a	F	6	1	3	0.24937655860349128
GR_TET2b	F	6	220	97	0.693984416895366
GR_TET2a	F	7	2	2	0.49875311720698257
GR_TET2b	F	7	12	25	0.3242366927857336
GR_TET2a	F	8	3	3	0.49916805324459235
GR_TET2b	F	8	276	531	0.34200319698640663
GR_TET2a	F	9	1	2	0.33222591362126247
GR_TET2b	F	9	58	1923	0.029277994558331355
GR_TET2a	G	1	0	1	0.0
GR_TET2b	G	1	19	19	0.4998684556695607
GR_TET2a	G	10	5	5	0.4995004995004995
GR_TET2b	G	10	29	27	0.5177646848777004
GR_TET2a	G	11	0	0	0.0
GR_TET2b	G	11	13	6	0.6838506049447659
GR_TET2a	G	12	1	0	0.9900990099009901
GR_TET2b	G	12	194	554	0.25935482145960614
GR_TET2a	G	13	463	842	0.35478655335974435
GR_TET2b	G	13	18908	23014	0.4510279922169762
GR_TET2a	G	14	0	5	0.0
GR_TET2b	G	14	32	42	0.43237400351303873
GR_TET2a	G	15	62	2	0.968598656459928
GR_TET2b	G	15	122	721	0.1447195169689565
GR_TET2a	G	16	1	1	0.49751243781094534
GR_TET2b	G	16	44	73	0.3760362362191266
GR_TET2a	G	17	4	3	0.5706134094151213
GR_TET2b	G	17	48	224	0.17646410058453735
GR_TET2a	G	18	2	3	0.3992015968063872
GR_TET2b	G	18	44	153	0.2233389168062535
GR_TET2a	G	19	0	3	0.0
GR_TET2b	G	19	270	325	0.4537738861531739
GR_TET2a	G	2	0	0	0.0
GR_TET2b	G	2	23	30	0.4338803999245426
GR_TET2a	G	20	2	3	0.3992015968063872
GR_TET2b	G	20	607	130	0.823598051586817
GR_TET2a	G	21	3	1	0.7481296758104738
GR_TET2b	G	21	103	144	0.41698716651147727
GR_TET2a	G	22	4	38	0.09521542489883361
GR_TET2b	G	22	405	382	0.5146059135207939
GR_TET2a	G	23	4	1	0.7984031936127745
GR_TET2b	G	23	536	536	0.49999533586440426
GR_TET2a	G	24	442	474	0.48252748332441786
GR_TET2b	G	24	23210	19527	0.5430889994409998
GR_TET2a	G	3	1	0	0.9900990099009901
GR_TET2b	G	3	39	180	0.1780740605451806
GR_TET2a	G	4	13	1	0.92790863668808
GR_TET2b	G	4	57	187	0.233596983730175
GR_TET2a	G	5	3	2	0.5988023952095809
GR_TET2b	G	5	18	4574	0.003919852090914436
GR_TET2a	G	6	2	1	0.6644518272425249
GR_TET2b	G	6	225	115	0.6617452427869769
GR_TET2a	G	7	0	0	0.0
GR_TET2b	G	7	13	47	0.21663056157307117
GR_TET2a	G	8	6	3	0.6659267480577137
GR_TET2b	G	8	5000	652	0.8846410392055215
GR_TET2a	G	9	98	6	0.9422170945101432
GR_TET2b	G	9	77	147	0.3437346547029151
GR_TET2a	H	1	1	0	0.9900990099009901
GR_TET2b	H	1	15	16	0.4837149306675266
GR_TET2a	H	10	0	0	0.0
GR_TET2b	H	10	14	25	0.3588823378620867
GR_TET2a	H	11	1	1	0.49751243781094534
GR_TET2b	H	11	6	6	0.4995836802664446
GR_TET2a	H	12	0	2	0.0
GR_TET2b	H	12	109	53	0.6727979754336152
GR_TET2a	H	13	709	746	0.48728187435137904
GR_TET2b	H	13	15592	18059	0.46334419085786727
GR_TET2a	H	14	1	2	0.33222591362126247
GR_TET2b	H	14	11	22	0.3332323538321721
GR_TET2a	H	15	0	0	0.0
GR_TET2b	H	15	21	35	0.3749330476700589
GR_TET2a	H	16	2	1	0.6644518272425249
GR_TET2b	H	16	17	111	0.13280212483399736
GR_TET2a	H	17	2	2	0.49875311720698257
GR_TET2b	H	17	39	199	0.16385866140078148
GR_TET2a	H	18	2	1	0.6644518272425249
GR_TET2b	H	18	34	95	0.26354546159212466
GR_TET2a	H	19	0	4	0.0
GR_TET2b	H	19	174	178	0.49430413908695775
GR_TET2a	H	2	0	5	0.0
GR_TET2b	H	2	5	30	0.14281633818908884
GR_TET2a	H	20	1	3	0.24937655860349128
GR_TET2b	H	20	71	86	0.4522004967836444
GR_TET2a	H	21	0	0	0.0
GR_TET2b	H	21	54	63	0.46149901717801894
GR_TET2a	H	22	0	22	0.0
GR_TET2b	H	22	221	244	0.4752585965893207
GR_TET2a	H	23	1	0	0.9900990099009901
GR_TET2b	H	23	271	236	0.5345062227569476
GR_TET2a	H	24	5	7	0.41631973355537055
GR_TET2b	H	24	461	491	0.48423861093896076
GR_TET2a	H	3	1	3	0.24937655860349128
GR_TET2b	H	3	20	65	0.23526643924244206
GR_TET2a	H	4	1	3	0.24937655860349128
GR_TET2b	H	4	40	126	0.24094934040118066
GR_TET2a	H	5	0	9	0.0
GR_TET2b	H	5	5	2043	0.002441394329129252
GR_TET2a	H	6	0	27	0.0
GR_TET2b	H	6	11308	119	0.989585202078234
GR_TET2a	H	7	0	0	0.0
GR_TET2b	H	7	17	34	0.33326798666928054
GR_TET2a	H	8	1	2	0.33222591362126247
GR_TET2b	H	8	231	435	0.3468416390144292
GR_TET2a	H	9	0	2	0.0
GR_TET2b	H	9	37	90	0.29131564443744584
GR_TET2a	I	1	0	1	0.0
GR_TET2b	I	1	6	30	0.16662038322688144
GR_TET2a	I	10	0	0	0.0
GR_TET2b	I	10	18	18	0.49986114968064427
GR_TET2a	I	11	0	2	0.0
GR_TET2b	I	11	12	1	0.9223674096848579
GR_TET2a	I	12	1	4	0.1996007984031936
GR_TET2b	I	12	139	54	0.7201699393813792
GR_TET2a	I	13	1	13	0.07137758743754462
GR_TET2b	I	13	9406	654	0.9349891302294928
GR_TET2a	I	14	68	263	0.2054318600646506
GR_TET2b	I	14	894	1539	0.36744608530174555
GR_TET2a	I	15	6	51	0.10524469391334854
GR_TET2b	I	15	867	1455	0.3733834048948971
GR_TET2a	I	16	0	3	0.0
GR_TET2b	I	16	26	47	0.3561156006026571
GR_TET2a	I	17	8	1	0.8879023307436182
GR_TET2b	I	17	49	149	0.2474622493813444
GR_TET2a	I	18	15	4	0.7890583903208837
GR_TET2b	I	18	49	115	0.29876227059325655
GR_TET2a	I	19	0	1	0.0
GR_TET2b	I	19	207	160	0.5640173292280865
GR_TET2a	I	2	0	1	0.0
GR_TET2b	I	2	31	21	0.5960392232263027
