Amplicon	Letter	Number	MT	WT	Ratio
GR_TET2a	A	1	0	0	0.0
GR_TET2b	A	1	0	2	0.0
GR_TET2a	A	10	0	0	0.0
GR_TET2b	A	10	0	0	0.0
GR_TET2a	A	11	0	3	0.0
GR_TET2b	A	11	1	1	0.49751243781094534
GR_TET2a	A	12	0	11	0.0
GR_TET2b	A	12	21	0	0.9995240361732508
GR_TET2a	A	13	21	10	0.6772009029345372
GR_TET2b	A	13	20	21	0.487685930260912
GR_TET2a	A	14	0	0	0.0
GR_TET2b	A	14	0	2	0.0
GR_TET2a	A	15	0	0	0.0
GR_TET2b	A	15	3	0	0.9966777408637875
GR_TET2a	A	16	0	1	0.0
GR_TET2b	A	16	25	1	0.9611687812379853
GR_TET2a	A	17	3	0	0.9966777408637875
GR_TET2b	A	17	7	30	0.18913807079167794
GR_TET2a	A	18	1	0	0.9900990099009901
GR_TET2b	A	18	6	1	0.8559201141226819
GR_TET2a	A	19	0	3	0.0
GR_TET2b	A	19	3	7	0.2997002997002997
GR_TET2a	A	2	0	1	0.0
GR_TET2b	A	2	9	12	0.4283674440742503
GR_TET2a	A	20	0	0	0.0
GR_TET2b	A	20	1	15	0.062460961898813235
GR_TET2a	A	21	0	3	0.0
GR_TET2b	A	21	0	2	0.0
GR_TET2a	A	22	0	0	0.0
GR_TET2b	A	22	13	0	0.9992313604919293
GR_TET2a	A	23	0	0	0.0
GR_TET2b	A	23	0	4	0.0
GR_TET2a	A	24	0	1	0.0
GR_TET2b	A	24	0	0	0.0
GR_TET2a	A	3	0	2	0.0
GR_TET2b	A	3	18	21	0.4614201486798257
GR_TET2a	A	4	4	0	0.9975062344139651
GR_TET2b	A	4	23	13	0.6387114690363788
GR_TET2a	A	5	0	0	0.0
GR_TET2b	A	5	1	1	0.49751243781094534
GR_TET2a	A	6	0	2	0.0
GR_TET2b	A	6	27	40	0.4029249365766303
GR_TET2a	A	7	1	0	0.9900990099009901
GR_TET2b	A	7	10	1	0.9082652134423251
GR_TET2a	A	8	9	2	0.8174386920980926
GR_TET2b	A	8	3	11	0.21413276231263384
GR_TET2a	A	9	0	0	0.0
GR_TET2b	A	9	19	8	0.7034431691965938
GR_TET2a	B	1	10	1	0.9082652134423251
GR_TET2b	B	1	18	7	0.7197121151539384
GR_TET2a	B	10	0	0	0.0
GR_TET2b	B	10	1	2	0.33222591362126247
GR_TET2a	B	11	1	4	0.1996007984031936
GR_TET2b	B	11	5	19	0.2082465639316951
GR_TET2a	B	12	16	15	0.5159625927120284
GR_TET2b	B	12	185	20	0.9023950051217015
GR_TET2a	B	13	6753	46	0.9932328383102834
GR_TET2b	B	13	1461	103	0.9341372497618302
GR_TET2a	B	14	2	38	0.04998750312421895
GR_TET2b	B	14	191	125	0.6044112528084554
GR_TET2a	B	15	1	0	0.9900990099009901
GR_TET2b	B	15	24	3	0.8885597926693817
GR_TET2a	B	16	12	4	0.7495315427857588
GR_TET2b	B	16	185	34	0.8447102872014977
GR_TET2a	B	17	15	0	0.9993337774816788
GR_TET2b	B	17	137	4180	0.031734927646681385
GR_TET2a	B	18	13	0	0.9992313604919293
GR_TET2b	B	18	78	17	0.8209662140827281
GR_TET2a	B	19	11	8	0.578642819568648
GR_TET2b	B	19	54	58	0.48209981251673956
GR_TET2a	B	2	7	5	0.5828476269775188
GR_TET2b	B	2	99	64	0.6073247040058892
GR_TET2a	B	20	12	0	0.9991673605328892
GR_TET2b	B	20	59	93	0.3881323597131768
GR_TET2a	B	21	5	2	0.7132667617689016
GR_TET2b	B	21	17	33	0.33993201359728054
GR_TET2a	B	22	12	0	0.9991673605328892
GR_TET2b	B	22	62	13	0.8265564591387814
GR_TET2a	B	23	3	0	0.9966777408637875
GR_TET2b	B	23	18	22	0.4498875281179705
