Amplicon	Letter	Number	MT	WT	Ratio
RN_RUNX1_c	A	1	0	0	0.0
RN_RUNX1_g	A	1	1	31	0.031240237425804437
RN_SRSF2	A	1	2	0	0.9950248756218907
RN_TET2a	A	1	29	30	0.4914421284528046
RN_TET2b_c	A	1	0	0	0.0
RN_TET2b_g	A	1	0	0	0.0
RN_RUNX1_c	A	10	0	0	0.0
RN_RUNX1_g	A	10	0	4	0.0
RN_SRSF2	A	10	0	1	0.0
RN_TET2a	A	10	1	2	0.33222591362126247
RN_TET2b_c	A	10	0	0	0.0
RN_TET2b_g	A	10	0	0	0.0
RN_RUNX1_c	A	11	0	1	0.0
RN_RUNX1_g	A	11	0	1	0.0
RN_SRSF2	A	11	0	0	0.0
RN_TET2a	A	11	1	0	0.9900990099009901
RN_TET2b_c	A	11	0	0	0.0
RN_TET2b_g	A	11	0	0	0.0
RN_RUNX1_c	A	12	0	1	0.0
RN_RUNX1_g	A	12	3	47	0.059988002399520096
RN_SRSF2	A	12	0	1	0.0
RN_TET2a	A	12	21	24	0.4665629860031104
RN_TET2b_c	A	12	0	0	0.0
RN_TET2b_g	A	12	0	0	0.0
RN_RUNX1_c	A	13	1	2	0.33222591362126247
RN_RUNX1_g	A	13	3	150	0.01960656166263643
RN_SRSF2	A	13	0	2	0.0
RN_TET2a	A	13	25	15	0.6248437890527369
RN_TET2b_c	A	13	0	0	0.0
RN_TET2b_g	A	13	0	0	0.0
RN_RUNX1_c	A	14	0	0	0.0
RN_RUNX1_g	A	14	0	0	0.0
RN_SRSF2	A	14	0	0	0.0
RN_TET2a	A	14	1	0	0.9900990099009901
RN_TET2b_c	A	14	0	0	0.0
RN_TET2b_g	A	14	0	0	0.0
RN_RUNX1_c	A	15	0	0	0.0
RN_RUNX1_g	A	15	0	3	0.0
RN_SRSF2	A	15	0	0	0.0
RN_TET2a	A	15	3	0	0.9966777408637875
RN_TET2b_c	A	15	0	0	0.0
RN_TET2b_g	A	15	0	0	0.0
RN_RUNX1_c	A	16	0	1	0.0
RN_RUNX1_g	A	16	1	22	0.0434593654932638
RN_SRSF2	A	16	0	0	0.0
