Join_cols	RN_RUNX1_c	RN_RUNX1_g	RN_SRSF2	RN_TET2a
AS-194_G17_nBCs	448	205	111	106
AS-194_G18_nBCs	693	218	445	121
AS-194_G8_nBCs	736	225	117	103
AS-194_H12_nBCs	1479	1351	210	102
AS-194_H13_nBCs	1860	477	212	293
AS-194_H17_nBCs	609	600	138	1525
AS-194_H18_nBCs	14667	6589	505	226
AS-194_H19_nBCs	10212	4001	1756	137
AS-194_H20_nBCs	367	277	148	176
AS-194_H22_nBCs	481	5293	133	195
AS-194_H6_nBCs	739	928	117	203
AS-194_H8_nBCs	1677	247	117	2891
AS-194_I12_nBCs	13148	3623	4106	181
AS-194_I13_nBCs	8643	5945	1135	424
AS-194_I16_nBCs	535	588	1003	3262
AS-194_I17_nBCs	386	2917	189	1563
AS-194_I18_nBCs	632	552	248	430
AS-194_I19_nBCs	743	3766	198	3004
AS-194_I20_nBCs	262	415	201	303
AS-194_I22_nBCs	237	488	127	281
AS-194_I2_nBCs	247	6955	101	247
AS-194_I4_nBCs	689	558	103	135
AS-194_I6_nBCs	492	6640	162	2092
AS-194_I7_nBCs	245	2190	134	1288
AS-194_I8_nBCs	713	488	184	371
AS-194_I9_nBCs	2894	3489	452	1726
AS-194_J12_nBCs	617	748	183	143
AS-194_J13_nBCs	2047	6804	197	317
AS-194_J16_nBCs	357	5443	170	1462
AS-194_J17_nBCs	283	826	213	239
AS-194_J18_nBCs	446	374	163	1173
AS-194_J19_nBCs	515	427	3046	187
AS-194_J20_nBCs	167	310	2601	214
AS-194_J4_nBCs	7626	389	136	113
AS-194_J6_nBCs	7345	302	128	5226
AS-194_J7_nBCs	151	137	345	1167
AS-194_J8_nBCs	462	2589	121	871
AS-194_J9_nBCs	378	5370	892	1510
AS-194_K12_nBCs	506	3678	2020	175
AS-194_K13_nBCs	1069	530	2676	8977
AS-194_K16_nBCs	425	272	269	333
AS-194_K17_nBCs	908	225	283	346
AS-194_K18_nBCs	499	286	397	449
AS-194_K19_nBCs	12784	3200	1702	240
AS-194_K20_nBCs	192	225	3068	2822
AS-194_K21_nBCs	266	112	2572	1117
AS-194_K22_nBCs	174	229	235	5019
AS-194_K24_nBCs	148	165	151	165
AS-194_K2_nBCs	155	3982	266	271
AS-194_K4_nBCs	1892	290	386	176
AS-194_K6_nBCs	357	236	3837	209
AS-194_K7_nBCs	2869	121	531	2430
AS-194_K8_nBCs	517	2012	5797	371
AS-194_K9_nBCs	462	369	323	156
AS-194_L12_nBCs	658	6498	291	199
AS-194_L13_nBCs	858	848	8440	448
AS-194_L16_nBCs	415	5568	139	344
AS-194_L17_nBCs	3004	291	118	4344
AS-194_L18_nBCs	1753	597	1645	5587
AS-194_L19_nBCs	537	5346	398	183
AS-194_L20_nBCs	167	5935	612	279
AS-194_L22_nBCs	898	433	126	298
AS-194_L2_nBCs	156	431	106	7024
AS-194_L6_nBCs	1336	484	386	319
AS-194_L8_nBCs	1036	500	799	5069
AS-194_L9_nBCs	10735	2670	194	236
AS-194_M12_nBCs	348	4638	492	149
AS-194_M13_nBCs	471	571	276	327
AS-194_M16_nBCs	218	343	186	1873
AS-194_M17_nBCs	122	279	174	637
AS-194_M18_nBCs	244	370	2031	1253
AS-194_M19_nBCs	312	445	2697	155
AS-194_M20_nBCs	102	262	195	219
AS-194_M2_nBCs	215	245	1349	205
AS-194_M4_nBCs	240	1211	104	122
AS-194_M6_nBCs	185	3886	376	179
AS-194_M8_nBCs	4305	275	127	4503
AS-194_M9_nBCs	236	434	1455	128
AS-194_N12_nBCs	362	447	3343	166
AS-194_N13_nBCs	553	643	529	1664
AS-194_N16_nBCs	1739	181	1561	2068
AS-194_N17_nBCs	137	4777	644	287
AS-194_N18_nBCs	281	199	238	3459
AS-194_N19_nBCs	273	243	173	238
AS-194_N20_nBCs	110	6888	1279	277
AS-194_N4_nBCs	3898	436	462	3994
AS-194_N6_nBCs	200	161	149	226
AS-194_N8_nBCs	1909	153	155	4740
AS-194_N9_nBCs	208	233	2315	150
AS-194_O12_nBCs	341	5007	133	4891
AS-194_O13_nBCs	358	371	129	241
AS-194_O17_nBCs	115	165	523	185
AS-194_O18_nBCs	239	305	112	1726
AS-196_B12_nBCs	4699	962	618	165
AS-196_B13_nBCs	233	2239	1714	150
AS-196_B16_nBCs	243	167	562	135
AS-196_B17_nBCs	495	280	252	138
AS-196_B18_nBCs	814	293	5462	143
AS-196_B19_nBCs	145	2837	106	137
AS-196_B20_nBCs	293	3529	874	499
AS-196_B2_nBCs	265	170	170	122
AS-196_B4_nBCs	341	197	147	109
AS-196_B6_nBCs	3174	202	237	121
AS-196_B8_nBCs	256	194	231	188
AS-196_C18_nBCs	175	223	127	209
AS-196_D12_nBCs	375	131	358	293
AS-196_D13_nBCs	293	238	4221	343
AS-196_D16_nBCs	275	165	1353	4416
AS-196_D17_nBCs	705	211	815	2680
AS-196_D18_nBCs	778	205	745	1985
AS-196_D19_nBCs	175	164	1050	3242
AS-196_D20_nBCs	409	1118	284	428
AS-196_D2_nBCs	345	165	241	3270
AS-196_D4_nBCs	9376	185	411	228
AS-196_D6_nBCs	359	144	224	315
AS-196_D8_nBCs	322	165	453	2656
AS-196_D9_nBCs	532	950	153	1757
AS-196_E12_nBCs	255	1933	1087	232
AS-196_E13_nBCs	194	5084	271	276
AS-196_E16_nBCs	160	1773	798	2040
AS-196_E17_nBCs	333	4772	1623	214
AS-196_E18_nBCs	564	500	282	246
AS-196_E19_nBCs	110	282	125	212
AS-196_E20_nBCs	822	736	594	2562
AS-196_E22_nBCs	2887	441	1077	100
AS-196_E2_nBCs	170	1098	177	3499
AS-196_E4_nBCs	245	1577	2236	163
AS-196_E6_nBCs	238	320	200	188
AS-196_E8_nBCs	224	3522	239	257
AS-196_E9_nBCs	303	379	921	154
