Join_cols	RN_RUNX1_c	RN_RUNX1_g	RN_SRSF2	RN_TET2a
AS-198_I13_CD34	4339	1478	701	1264
AS-198_I17_CD34	3232	1382	225	542
AS-198_I18_CD34	1074	289	121	153
AS-198_I19_CD34	1059	1116	106	103
AS-198_I20_CD34	1016	1848	153	129
AS-198_I22_CD34	915	280	155	108
AS-198_I2_CD34	1665	246	411	110
AS-198_I3_CD34	1938	716	161	843
AS-198_I4_CD34	2226	815	595	126
AS-198_I6_CD34	1523	353	154	295
AS-198_I8_CD34	4744	471	1461	156
AS-198_I9_CD34	1622	329	139	107
AS-198_J12_CD34	4170	1142	452	242
AS-198_J13_CD34	2136	1035	251	239
AS-198_J16_CD34	3119	363	541	121
AS-198_J17_CD34	4144	1130	415	752
AS-198_J18_CD34	8061	1581	233	419
AS-198_J19_CD34	1287	292	132	115
AS-198_J20_CD34	3436	800	531	158
AS-198_J22_CD34	1803	1246	433	113
AS-198_J2_CD34	5882	261	219	486
AS-198_J3_CD34	989	638	407	109
AS-198_J4_CD34	7533	381	291	256
AS-198_J6_CD34	1620	1223	248	1371
AS-198_J8_CD34	4378	1892	646	383
AS-198_J9_CD34	3047	435	414	1075
AS-198_K12_CD34	570	1089	246	139
AS-198_K13_CD34	1582	1126	216	1206
AS-198_K16_CD34	1717	1480	217	959
AS-198_K19_CD34	1705	1329	103	221
AS-198_K20_CD34	1451	1563	198	1136
AS-198_K22_CD34	376	238	155	129
AS-198_K2_CD34	269	210	146	129
AS-198_K6_CD34	467	272	163	149
AS-198_K8_CD34	501	319	260	112
AS-198_K9_CD34	4691	1194	807	217
AS-198_L12_CD34	3962	1272	798	538
AS-198_L13_CD34	9244	596	1119	236
AS-198_L16_CD34	1354	925	191	1001
AS-198_L17_CD34	1164	1235	102	142
AS-198_L18_CD34	2832	1946	267	274
AS-198_L19_CD34	2880	716	410	110
AS-198_L20_CD34	6342	1023	1188	137
AS-198_L24_CD34	156	304	108	218
AS-198_L2_CD34	1100	1842	183	116
AS-198_L3_CD34	611	627	118	714
AS-198_L4_CD34	884	822	128	444
AS-198_L6_CD34	2629	1903	644	188
AS-198_L7_CD34	583	159	106	112
AS-198_L8_CD34	1545	443	232	144
AS-198_L9_CD34	1714	586	172	112
AS-198_M12_CD34	5951	1152	871	182
AS-198_M13_CD34	5085	1655	428	217
AS-198_M16_CD34	1065	373	169	105
AS-198_M17_CD34	1145	398	190	160
AS-198_M18_CD34	1392	298	222	132
AS-198_M19_CD34	6300	709	751	113
AS-198_M20_CD34	5005	1042	533	348
AS-198_M22_CD34	1199	339	185	1807
AS-198_M2_CD34	578	208	139	113
AS-198_M3_CD34	1299	1165	265	1132
AS-198_M4_CD34	1040	1208	119	144
AS-198_M6_CD34	1225	335	173	152
AS-198_M7_CD34	1727	520	137	370
AS-198_M8_CD34	2060	430	188	143
AS-198_M9_CD34	7539	1492	1780	126
AS-198_N12_CD34	7487	2340	1166	199
AS-198_N13_CD34	2198	405	199	845
AS-198_N16_CD34	1293	825	324	360
AS-198_N17_CD34	745	305	198	470
AS-198_N18_CD34	1739	238	150	744
AS-198_N19_CD34	1004	469	181	130
AS-198_N20_CD34	823	461	162	165
AS-198_N22_CD34	2505	1184	677	453
AS-198_N23_CD34	132	112	125	275
AS-198_N2_CD34	480	192	442	145
AS-198_N4_CD34	1924	745	421	491
AS-198_N6_CD34	4201	721	277	197
AS-198_N8_CD34	5268	984	436	152
AS-198_N9_CD34	2823	1436	1051	307
AS-198_O12_CD34	1491	628	307	1078
AS-198_O13_CD34	815	1647	186	260
AS-198_O17_CD34	790	662	526	576
AS-198_O18_CD34	1144	445	129	152
AS-198_O20_CD34	598	431	377	161
AS-198_O22_CD34	602	356	181	128
AS-198_O2_CD34	648	1341	142	1293
AS-198_O4_CD34	1577	1555	492	166
AS-198_O6_CD34	3451	1230	336	1909
AS-198_O8_CD34	1077	1210	162	684
AS-198_O9_CD34	809	397	234	182
AS-198_P13_CD34	165	774	189	132
AS-198_P20_CD34	193	296	139	101
AS-201_B13_CD34+/38-	9742	412	1233	2396
AS-201_B16_CD34+/38-	2559	1601	409	1271
AS-201_B17_CD34+/38-	9092	1505	507	171
AS-201_B20_CD34+/38-	2949	3355	527	1968
AS-201_B21_CD34+/38-	1855	1012	877	2502
AS-201_B8_CD34+/38-	4624	3549	634	115
AS-201_B9_CD34+/38-	7997	1885	206	351
AS-201_C13_CD34+/38-	12874	5041	2470	524
AS-201_C16_CD34+/38-	11172	4409	1470	128
AS-201_C17_CD34+/38-	8359	2438	498	239
AS-201_C20_CD34+/38-	8956	616	2064	5833
AS-201_C21_CD34+/38-	3820	238	180	429
AS-201_D13_CD34+/38-	5811	4083	1028	1212
AS-201_D16_CD34+/38-	3749	4648	247	252
AS-201_D17_CD34+/38-	15706	758	704	649
AS-201_D19_CD34+/38-	9944	1422	1439	1851
AS-201_D20_CD34+/38-	13931	1602	954	962
AS-201_D9_CD34+/38-	1199	842	103	2159
AS-201_E12_CD34+/38-	1987	1453	420	214
AS-201_E13_CD34+/38-	1473	3587	154	121
AS-201_E16_CD34+/38-	8401	1423	832	729
AS-201_E17_CD34+/38-	7771	2640	717	2916
AS-201_E18_CD34+/38-	11272	5983	1176	722
AS-201_E19_CD34+/38-	7961	1774	478	420
AS-201_E20_CD34+/38-	13478	4984	1685	263
AS-201_E21_CD34+/38-	5915	225	405	480
AS-201_F12_CD34+/38-	6228	3153	676	157
AS-201_F13_CD34+/38-	5246	5459	1675	1145
AS-201_F16_CD34+/38-	5640	458	457	2077
AS-201_F17_CD34+/38-	5859	368	220	1558
AS-201_F19_CD34+/38-	6152	3066	342	103
AS-201_F20_CD34+/38-	8409	4115	1887	195
AS-201_F4_CD34+/38-	372	170	104	106
AS-201_F6_CD34+/38-	1372	1753	140	2080
AS-201_F8_CD34+/38-	1215	210	186	1208
AS-201_F9_CD34+/38-	2939	3996	127	164
AS-201_G20_CD34+/38-	4532	3182	1391	1255
AS-201_G21_CD34+/38-	1866	724	451	355
AS-201_G22_CD34+/38-	733	4359	125	2048
AS-201_G2_CD34+/38-	2966	2771	592	801
AS-201_G3_CD34+/38-	4087	2089	971	1447
