	Plate_Well	celltype
224	not_seq_J23	GMP
225	not_seq_J22	CMP
226	not_seq_J21	GMP
227	not_seq_J20	GMP
228	not_seq_J19	GMP
229	not_seq_J18	GMP
230	not_seq_J17	GMP2
231	not_seq_J16	GMP
232	not_seq_J15	LMPP
233	not_seq_J14	CMP
234	not_seq_J13	MEP
235	not_seq_J12	GMP
236	not_seq_J11	MEP
237	not_seq_K11	MEP
238	not_seq_K10	GMP
239	not_seq_K9	GMP
240	not_seq_K8	unassigned
241	not_seq_K7	LMPP
242	not_seq_K6	MEP
243	not_seq_K5	CMP
244	not_seq_K4	GMP
245	not_seq_K3	MEP
246	not_seq_K2	MEP
247	not_seq_K1	GMP
248	not_seq_L1	LSC
249	not_seq_L2	MEP
250	not_seq_L3	MEP
251	not_seq_L4	GMP
252	not_seq_L5	CMP
253	not_seq_L6	MEP
254	not_seq_L7	GMP2
255	not_seq_L8	CMP
256	not_seq_L9	GMP2
257	not_seq_L10	GMP2
258	not_seq_L11	GMP
259	not_seq_L12	GMP
260	not_seq_K12	GMP
261	not_seq_K13	GMP
262	not_seq_K14	GMP
263	not_seq_K15	GMP
264	not_seq_K16	GMP
265	not_seq_K17	GMP
266	not_seq_K18	CMP
267	not_seq_K19	GMP2
268	not_seq_K20	GMP2
269	not_seq_K21	GMP
270	not_seq_K22	MPP
271	not_seq_K23	LMPP
272	not_seq_K24	GMP2
273	not_seq_L24	MEP
274	not_seq_L23	GMP
275	not_seq_L22	MPP
276	not_seq_L21	GMP
277	not_seq_L20	CMP
278	not_seq_L19	CMP
279	not_seq_L18	LMPP
280	not_seq_L17	GMP
281	not_seq_L16	GMP
282	not_seq_L15	GMP
283	not_seq_L14	GMP
284	not_seq_L13	MPP
285	not_seq_M13	GMP
286	not_seq_M12	GMP
287	not_seq_M11	GMP
288	not_seq_M10	CMP
289	not_seq_M9	GMP
290	not_seq_M8	GMP
291	not_seq_M7	GMP
292	not_seq_M6	GMP
293	not_seq_M5	CMP
294	not_seq_M4	GMP
295	not_seq_M3	GMP
296	not_seq_M2	GMP
297	not_seq_M1	GMP2
298	not_seq_N1	CMP
299	not_seq_N2	GMP2
300	not_seq_N3	MEP
301	not_seq_N4	CMP
302	not_seq_N5	GMP
303	not_seq_N6	MEP
304	not_seq_N7	GMP
305	not_seq_N8	GMP
306	not_seq_N9	GMP
307	not_seq_N10	GMP
308	not_seq_N11	GMP
309	not_seq_N12	LMPP
310	not_seq_N13	GMP
311	not_seq_N14	MPP
312	not_seq_M14	GMP
313	not_seq_M15	GMP
314	not_seq_M16	HSC
315	not_seq_M17	MPP
316	not_seq_M18	CMP
317	not_seq_M19	MEP
318	not_seq_M20	MPP
319	not_seq_M21	GMP
320	not_seq_M22	GMP2
321	not_seq_M23	GMP
322	not_seq_M24	MEP
323	not_seq_N24	HSC
324	not_seq_N23	LMPP
325	not_seq_N22	GMP
326	not_seq_N21	MEP
327	not_seq_N20	GMP
328	not_seq_N19	GMP
329	not_seq_N18	GMP
330	not_seq_N17	MEP
331	not_seq_N16	CMP
332	not_seq_N15	GMP
333	not_seq_O15	MPP
334	not_seq_O14	CMP
335	not_seq_O13	MEP
336	not_seq_O12	GMP
337	not_seq_O11	GMP
338	not_seq_O10	GMP2
339	not_seq_O9	GMP
340	not_seq_O8	GMP
