	Plate_Well	celltype
187	not_seq_NE1_H10	NE
188	not_seq_NE1_H9	NE
189	not_seq_NE1_I9	NE
190	not_seq_NE1_I8	NE
191	not_seq_NE1_I7	NE
192	not_seq_NE1_I6	NE
193	not_seq_NE1_I5	NE
194	not_seq_NE1_I4	NE
195	not_seq_NE1_I3	NE
196	not_seq_NE1_I2	NE
197	not_seq_NE1_I1	NE
198	not_seq_NE1_J1	NE
199	not_seq_NE1_J2	NE
200	not_seq_NE1_J3	NE
201	not_seq_NE1_J4	NE
202	not_seq_NE1_J5	NE
203	not_seq_NE1_J6	NE
204	not_seq_NE1_J7	NE
205	not_seq_NE1_J8	NE
206	not_seq_NE1_J9	NE
207	not_seq_NE1_J10	NE
208	not_seq_NE1_I10	NE
209	not_seq_NE1_I11	NE
210	not_seq_NE1_I12	NE
211	not_seq_NE1_I13	NE
212	not_seq_NE1_I14	NE
213	not_seq_NE1_I15	NE
214	not_seq_NE1_I16	NE
215	not_seq_NE1_I17	NE
216	not_seq_NE1_I18	NE
217	not_seq_NE1_I19	NE
218	not_seq_NE1_I20	NE
219	not_seq_NE1_I21	NE
220	not_seq_NE1_I22	NE
221	not_seq_NE1_I23	NE
222	not_seq_NE1_I24	NE
223	not_seq_NE1_J24	NE
224	not_seq_NE1_J23	NE
225	not_seq_NE1_J22	NE
226	not_seq_NE1_J21	NE
227	not_seq_NE1_J20	NE
228	not_seq_NE1_J19	NE
229	not_seq_NE1_J18	NE
230	not_seq_NE1_J17	NE
231	not_seq_NE1_J16	NE
232	not_seq_NE1_J15	NE
233	not_seq_NE1_J14	NE
234	not_seq_NE1_J13	NE
235	not_seq_NE1_J12	NE
236	not_seq_NE1_J11	NE
237	not_seq_NE1_K11	NE
238	not_seq_NE1_K10	NE
239	not_seq_NE1_K9	NE
240	not_seq_NE1_K8	NE
241	not_seq_NE1_K7	NE
242	not_seq_NE1_K6	NE
243	not_seq_NE1_K5	NE
244	not_seq_NE1_K4	NE
245	not_seq_NE1_K3	NE
246	not_seq_NE1_K2	NE
247	not_seq_NE1_K1	NE
248	not_seq_NE1_L1	NE
249	not_seq_NE1_L2	NE
250	not_seq_NE1_L3	NE
